NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 127 , 127 , 147 , 185 , 189 , 248 , 253 , 211 , 208 , 222 , 197 , 211 , 241 , 328 , 270 , 551 , 726 , 762 , 756 , 832 , 948 , 885 , 696 ," 1,188 "," 1,378 "," 1,476 "," 1,620 "," 1,787 "," 1,874 "," 1,890 "," 1,995 "," 1,944 "," 1,960 "," 2,007 "," 2,088 "," 2,212 "," 2,320 "," 2,098 "," 2,019 "," 2,155 "," 2,155 "," 2,254 "
         Other State and Local Programs**, 21 , 24 , 26 , 34 , 42 , 44 , 32 , 29 , 36 , 42 , 47 , 54 , 78 , 106 , 132 , 188 , 257 , 380 , 495 , 675 , 894 ," 1,142 "," 1,367 "," 1,509 "," 1,635 "," 1,804 "," 1,869 "," 1,968 "," 2,214 "," 2,493 "," 2,741 "," 2,923 "," 3,064 "," 3,334 "," 3,407 "," 3,657 "," 3,954 "," 4,313 "," 4,913 "," 5,192 "," 5,848 "," 6,712 "," 7,307 "," 8,018 "," 8,769 "," 9,023 "," 9,020 "," 8,985 "," 9,612 "," 10,324 "," 10,936 "," 11,229 "," 11,312 "," 11,442 "," 11,711 "," 11,372 "," 11,247 "
         School Health, 122 , 140 , 147 , 143 , 151 , 168 , 187 , 215 , 242 , 263 , 290 , 308 , 321 , 346 , 377 , 400 , 433 , 509 , 559 , 600 , 663 , 708 , 753 , 795 , 847 , 919 , 986 ," 1,040 "," 1,099 "," 1,185 "," 1,293 "," 1,363 "," 1,416 "," 1,553 "," 1,701 "," 1,785 "," 1,890 "," 2,037 "," 2,197 "," 2,330 "," 2,483 "," 2,689 "," 2,888 "," 3,032 "," 3,193 "," 3,363 "," 3,569 "," 3,895 "," 4,089 "," 4,201 "," 4,293 "," 4,282 "," 4,321 "," 4,416 "," 4,612 "," 4,819 "," 4,984 "
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 22 , 46 , 86 , 140 , 153 , 127 , 205 , 341 , 483 , 759 ," 1,057 "," 1,599 "," 2,173 "," 2,819 "," 3,667 "," 3,962 "," 4,460 "," 5,072 "," 5,406 "," 6,063 "," 6,788 "," 7,449 "," 8,303 "," 9,864 "," 11,329 "," 13,879 "," 15,453 "," 18,006 "," 20,548 "," 23,352 "," 25,846 "," 28,046 "," 29,660 "," 31,855 "," 34,493 "," 38,315 "," 42,854 "," 46,216 "," 50,295 "," 53,777 "," 57,603 "," 61,899 "," 64,887 "," 71,232 "," 75,134 "," 76,281 "," 81,615 "," 85,677 "," 90,156 "," 99,330 "," 104,721 "
Total Administration and Total Net Cost of Health Insurance Expenditures," 1,072 "," 1,167 "," 1,293 "," 1,333 "," 1,518 "," 1,845 "," 2,067 "," 2,141 "," 2,592 "," 2,413 "," 2,632 "," 3,226 "," 4,332 "," 4,817 "," 4,515 "," 4,922 "," 6,767 "," 9,457 "," 11,222 "," 12,064 "," 12,053 "," 14,098 "," 16,343 "," 18,526 "," 23,633 "," 25,248 "," 22,485 "," 21,018 "," 26,748 "," 34,067 "," 38,746 "," 39,656 "," 42,917 "," 52,261 "," 55,902 "," 57,592 "," 59,677 "," 60,719 "," 63,232 "," 70,472 "," 81,240 "," 90,591 "," 112,530 "," 132,427 "," 141,931 "," 151,040 "," 165,824 "," 172,508 "," 168,890 "," 167,712 "," 184,449 "," 191,611 "," 199,642 "," 210,850 "," 236,796 "," 249,866 "," 263,652 "
     Out of pocket, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Health Insurance, 863 , 943 ," 1,033 "," 1,064 "," 1,165 "," 1,368 "," 1,627 "," 1,721 "," 2,101 "," 1,882 "," 2,113 "," 2,741 "," 3,822 "," 4,200 "," 3,847 "," 4,233 "," 6,013 "," 8,525 "," 10,056 "," 10,501 "," 10,233 "," 12,158 "," 14,274 "," 16,642 "," 22,119 "," 23,548 "," 20,742 "," 18,674 "," 24,139 "," 31,767 "," 36,177 "," 37,279 "," 39,787 "," 47,832 "," 50,545 "," 52,040 "," 53,959 "," 55,514 "," 58,267 "," 65,821 "," 75,193 "," 82,652 "," 101,974 "," 118,948 "," 127,473 "," 135,312 "," 149,674 "," 157,524 "," 157,552 "," 159,485 "," 175,946 "," 182,554 "," 187,065 "," 195,093 "," 218,980 "," 231,321 "," 242,973 "
          Private Health Insurance, 852 , 931 ," 1,020 "," 1,051 "," 1,152 "," 1,355 "," 1,442 "," 1,389 "," 1,637 "," 1,355 "," 1,434 "," 2,012 "," 2,964 "," 3,189 "," 2,625 "," 2,837 "," 4,304 "," 6,757 "," 7,917 "," 8,199 "," 7,684 "," 9,240 "," 11,283 "," 13,287 "," 18,326 "," 19,209 "," 16,182 "," 13,779 "," 18,515 "," 25,431 "," 29,097 "," 29,463 "," 31,162 "," 37,934 "," 38,474 "," 38,615 "," 40,844 "," 39,542 "," 40,314 "," 45,877 "," 52,348 "," 57,114 "," 73,282 "," 88,473 "," 93,686 "," 96,784 "," 101,269 "," 104,772 "," 102,016 "," 98,169 "," 108,456 "," 111,444 "," 113,018 "," 115,791 "," 125,333 "," 125,460 "," 129,605 "
          Medicare, -   , -   , -   , -   , -   , -   , 120 , 193 , 287 , 310 , 397 , 407 , 474 , 548 , 680 , 726 , 879 , 754 ," 1,002 "," 1,022 "," 1,127 "," 1,313 "," 1,290 "," 1,443 "," 1,608 "," 2,034 "," 2,061 "," 2,129 "," 2,561 "," 2,860 "," 2,916 "," 3,343 "," 3,628 "," 3,730 "," 4,240 "," 4,535 "," 5,177 "," 6,172 "," 6,861 "," 7,138 "," 8,496 "," 8,575 "," 8,830 "," 8,667 "," 11,026 "," 13,484 "," 21,393 "," 24,041 "," 24,957 "," 28,541 "," 30,717 "," 32,752 "," 34,687 "," 35,299 "," 37,921 "," 41,681 "," 46,814 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 52 , 122 , 156 , 191 , 251 , 284 , 341 , 411 , 483 , 607 , 759 , 944 ," 1,059 "," 1,198 "," 1,335 "," 1,512 "," 1,593 "," 1,780 "," 2,052 "," 2,176 "," 2,364 "," 2,620 "," 2,907 "," 3,301 "," 3,968 "," 4,290 "," 4,769 "," 5,920 "," 7,558 "," 8,613 "," 7,660 "," 9,498 "," 10,695 "," 12,174 "," 13,402 "," 15,657 "," 17,954 "," 19,455 "," 19,933 "," 21,694 "," 23,269 "," 24,637 "," 26,376 "," 28,230 "," 31,474 "," 32,853 "," 34,267 "," 38,951 "," 50,375 "," 58,312 "," 60,327 "
                          Federal  , -   , -   , -   , -   , -   , -   , 26 , 64 , 81 , 102 , 135 , 166 , 187 , 236 , 283 , 360 , 492 , 579 , 699 , 799 , 829 , 972 ," 1,032 "," 1,060 "," 1,205 "," 1,324 "," 1,410 "," 1,493 "," 1,656 "," 1,909 "," 2,278 "," 2,438 "," 2,580 "," 3,281 "," 3,710 "," 4,203 "," 4,223 "," 5,303 "," 5,926 "," 6,848 "," 7,499 "," 8,698 "," 10,044 "," 11,024 "," 11,134 "," 12,007 "," 12,368 "," 13,633 "," 14,789 "," 16,726 "," 19,099 "," 18,938 "," 19,382 "," 22,244 "," 31,024 "," 37,313 "," 38,944 "
                          State and Local, -   , -   , -   , -   , -   , -   , 25 , 59 , 75 , 88 , 116 , 118 , 154 , 175 , 200 , 247 , 267 , 365 , 361 , 399 , 506 , 540 , 560 , 720 , 847 , 852 , 954 ," 1,127 "," 1,251 "," 1,392 "," 1,690 "," 1,852 "," 2,189 "," 2,639 "," 3,848 "," 4,409 "," 3,437 "," 4,195 "," 4,769 "," 5,327 "," 5,902 "," 6,959 "," 7,910 "," 8,432 "," 8,800 "," 9,687 "," 10,901 "," 11,004 "," 11,586 "," 11,504 "," 12,375 "," 13,915 "," 14,885 "," 16,707 "," 19,350 "," 20,999 "," 21,383 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 51 , 233 , 482 , 678 , 924 , 991 ," 1,017 "," 1,117 "," 1,177 "," 1,350 "," 1,514 "," 1,573 "," 1,834 "," 1,952 "," 1,927 "," 2,133 "," 2,345 "," 2,657 "," 2,923 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 36 , 163 , 335 , 472 , 641 , 689 , 707 , 776 , 812 , 936 ," 1,055 "," 1,099 "," 1,276 "," 1,355 "," 1,335 "," 1,470 "," 1,630 "," 2,001 "," 2,645 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 71 , 147 , 205 , 283 , 302 , 310 , 341 , 365 , 415 , 459 , 473 , 558 , 596 , 592 , 663 , 715 , 656 , 278 
         Department of Defense, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 5 , 9 , 11 , 13 , 17 , 21 , 25 , 26 , 26 , 29 , 32 , 32 , 35 , 37 , 42 , 53 , 73 , 68 , 68 , 82 , 99 , 111 , 129 , 152 , 131 , 168 , 172 , 194 , 203 , 206 , 234 , 277 , 325 , 385 , 539 , 869 ," 1,203 "," 1,609 "," 2,017 "," 2,381 "," 2,595 "," 2,624 "," 2,890 "," 3,429 "," 3,521 "," 3,135 "," 2,867 "," 2,969 "," 2,976 "," 2,903 "
         Department of Veterans Affairs, 10 , 10 , 11 , 11 , 12 , 12 , 12 , 12 , 12 , 16 , 19 , 21 , 23 , 26 , 32 , 37 , 41 , 38 , 46 , 47 , 50 , 52 , 55 , 60 , 64 , 61 , 53 , 47 , 45 , 46 , 44 , 53 , 60 , 76 , 80 , 75 , 72 , 68 , 69 , 73 , 80 , 89 , 114 , 158 , 203 , 215 , 184 , 128 , 66 , 82 , 36 , 32 , 31 , 53 , 36 , 235 , 402 
     Other Third Party Payers and Programs, 209 , 224 , 261 , 269 , 353 , 477 , 440 , 420 , 491 , 531 , 519 , 485 , 511 , 617 , 668 , 689 , 754 , 932 ," 1,166 "," 1,563 "," 1,820 "," 1,940 "," 2,069 "," 1,883 "," 1,514 "," 1,700 "," 1,743 "," 2,344 "," 2,609 "," 2,300 "," 2,570 "," 2,376 "," 3,130 "," 4,430 "," 5,357 "," 5,552 "," 5,718 "," 5,205 "," 4,965 "," 4,651 "," 6,046 "," 7,939 "," 10,556 "," 13,479 "," 14,458 "," 15,729 "," 16,151 "," 14,984 "," 11,338 "," 8,227 "," 8,503 "," 9,057 "," 12,576 "," 15,757 "," 17,816 "," 18,546 "," 20,679 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , 8 , 9 , 11 , 12 , 13 , 15 , 15 , 17 , 20 , 22 , 21 , 21 , 24 , 28 , 34 , 40 , 45 , 48 , 54 , 59 , 59 , 62 , 67 , 74 , 84 , 91 , 92 , 97 , 98 , 98 , 101 , 101 , 100 , 114 , 139 , 143 , 155 , 155 , 185 , 196 , 218 
         Workers' Compensation, 180 , 184 , 209 , 216 , 241 , 269 , 310 , 350 , 414 , 450 , 480 , 439 , 462 , 569 , 618 , 631 , 652 , 820 ," 1,045 "," 1,433 "," 1,682 "," 1,789 "," 1,899 "," 1,715 "," 1,344 "," 1,516 "," 1,555 "," 2,152 "," 2,402 "," 2,087 "," 2,330 "," 2,113 "," 2,839 "," 4,099 "," 5,001 "," 5,186 "," 5,340 "," 4,829 "," 4,572 "," 4,229 "," 5,593 "," 7,445 "," 10,043 "," 12,955 "," 13,931 "," 15,205 "," 15,620 "," 14,419 "," 10,773 "," 7,630 "," 7,629 "," 7,837 "," 10,719 "," 12,590 "," 14,837 "," 16,149 "," 18,766 "
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Maternal/Child Health, 7 , 11 , 11 , 12 , 14 , 15 , 18 , 20 , 24 , 27 , 26 , 29 , 31 , 32 , 33 , 29 , 39 , 49 , 48 , 53 , 59 , 61 , 63 , 73 , 71 , 82 , 87 , 94 , 97 , 101 , 105 , 121 , 133 , 142 , 151 , 156 , 163 , 174 , 177 , 184 , 194 , 200 , 208 , 213 , 211 , 210 , 202 , 234 , 252 , 239 , 238 , 222 , 208 , 217 , 233 , 243 , 255 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 3 , 3 , 4 , 5 , 5 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 5 , 4 , 2 , 3 , 2 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 3 , 3 , 3 , 3 , 3 , 3 
                          State and Local, 7 , 10 , 10 , 11 , 12 , 14 , 16 , 18 , 21 , 24 , 23 , 26 , 27 , 27 , 29 , 25 , 34 , 44 , 42 , 47 , 54 , 55 , 58 , 69 , 69 , 79 , 84 , 91 , 94 , 98 , 102 , 117 , 130 , 139 , 147 , 153 , 159 , 170 , 174 , 181 , 190 , 196 , 204 , 209 , 207 , 206 , 199 , 230 , 249 , 236 , 234 , 218 , 205 , 214 , 229 , 240 , 251 
         Vocational Rehabilitation, 1 , 1 , 1 , 2 , 2 , 2 , 3 , 5 , 7 , 8 , 9 , 10 , 11 , 12 , 15 , 18 , 18 , 18 , 18 , 20 , 22 , 24 , 24 , 25 , 25 , 26 , 28 , 30 , 31 , 32 , 33 , 34 , 37 , 38 , 36 , 35 , 37 , 41 , 43 , 44 , 47 , 49 , 51 , 51 , 52 , 50 , 53 , 54 , 53 , 58 , 62 , 62 , 60 , 59 , 59 , 60 , 61 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 5 , 6 , 7 , 8 , 8 , 10 , 12 , 14 , 14 , 14 , 14 , 15 , 17 , 18 , 18 , 18 , 19 , 20 , 21 , 23 , 24 , 24 , 26 , 27 , 28 , 29 , 27 , 26 , 27 , 31 , 32 , 33 , 36 , 37 , 39 , 39 , 40 , 38 , 40 , 41 , 40 , 44 , 48 , 48 , 46 , 46 , 46 , 46 , 47 
                          State and Local, -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 7 , 7 , 7 , 7 , 8 , 9 , 9 , 9 , 9 , 9 , 10 , 10 , 11 , 12 , 12 , 12 , 12 , 12 , 11 , 13 , 13 , 12 , 13 , 14 , 13 , 13 , 13 , 14 , 14 , 14 
         Other Federal Programs*, 10 , 14 , 20 , 22 , 40 , 70 , 47 , 25 , 26 , 24 , 4 , 6 , 6 , 4 , 3 , -   , 30 , 30 , 35 , 37 , 34 , 43 , 60 , 48 , 49 , 50 , 49 , 43 , 39 , 40 , 45 , 43 , 49 , 59 , 59 , 65 , 84 , 69 , 67 , 73 , 79 , 86 , 97 , 107 , 106 , 107 , 115 , 114 , 98 , 122 , 371 , 724 ," 1,350 "," 2,652 "," 2,421 "," 1,815 "," 1,289 "
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 8 , 7 , 9 , 8 , 10 , 9 , 8 , 7 , 4 , 4 , 4 , 5 , 15 , 12 , 22 , 25 , 27 , 43 , 56 , 51 , 35 , 31 , 39 , 46 , 50 , 68 , 65 , 57 , 60 , 58 , 59 , 62 , 62 , 65 , 64 , 70 , 85 , 85 , 80 , 82 , 89 
         Other State and Local Programs**, 10 , 13 , 18 , 17 , 56 , 120 , 63 , 21 , 21 , 22 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 172 , 315 , 443 , 501 , 648 , 691 , 815 , 959 ," 1,163 "," 1,333 "," 1,638 "," 1,698 "," 2,061 "," 2,220 "," 2,462 "," 2,825 "," 2,883 "," 3,223 "," 3,660 "," 4,210 "," 4,425 "," 4,749 "," 5,468 "," 6,161 "," 6,884 "," 7,633 "," 8,397 "," 9,650 "," 11,798 "," 13,148 "," 12,837 "," 15,670 "," 17,607 "," 19,545 "," 22,380 "," 24,910 "," 27,708 "," 29,113 "," 31,976 "," 36,295 "," 45,839 "," 50,028 "," 52,847 "," 58,344 "," 64,025 "," 67,557 "," 70,881 "," 76,383 "," 90,641 "," 102,650 "," 110,064 "
State and Local  Administration Expenditures, 30 , 38 , 43 , 44 , 85 , 150 , 123 , 118 , 138 , 157 , 166 , 169 , 210 , 237 , 273 , 321 , 362 , 481 , 480 , 532 , 652 , 696 , 719 , 906 ," 1,063 "," 1,105 "," 1,289 "," 1,546 "," 1,737 "," 1,941 "," 2,249 "," 2,564 "," 2,943 "," 3,132 "," 4,223 "," 4,637 "," 3,632 "," 4,183 "," 4,513 "," 4,692 "," 5,623 "," 7,383 "," 8,714 "," 10,114 "," 10,497 "," 10,537 "," 10,576 "," 9,821 "," 9,373 "," 9,001 "," 8,413 "," 8,913 "," 9,061 "," 10,276 "," 11,614 "," 11,894 "," 12,297 "
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance, -   , -   , -   , -   , -   , -   , 25 , 58 , 73 , 86 , 113 , 114 , 150 , 170 , 195 , 240 , 260 , 357 , 352 , 390 , 495 , 529 , 546 , 695 , 809 , 807 , 911 ," 1,082 "," 1,183 "," 1,290 "," 1,550 "," 1,708 "," 1,985 "," 2,336 "," 3,468 "," 3,911 "," 2,827 "," 3,446 "," 3,917 "," 4,280 "," 4,722 "," 5,412 "," 5,811 "," 6,331 "," 6,485 "," 6,916 "," 7,824 "," 7,737 "," 8,140 "," 8,384 "," 8,290 "," 8,634 "," 8,527 "," 8,948 "," 9,530 "," 9,733 "," 9,815 "
          Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 25 , 58 , 73 , 86 , 113 , 114 , 150 , 170 , 195 , 240 , 260 , 357 , 352 , 390 , 495 , 529 , 546 , 695 , 809 , 807 , 911 ," 1,082 "," 1,183 "," 1,290 "," 1,550 "," 1,708 "," 1,985 "," 2,336 "," 3,468 "," 3,911 "," 2,827 "," 3,446 "," 3,908 "," 4,239 "," 4,632 "," 5,299 "," 5,667 "," 6,175 "," 6,327 "," 6,739 "," 7,649 "," 7,530 "," 7,916 "," 8,159 "," 8,049 "," 8,360 "," 8,232 "," 8,607 "," 9,158 "," 9,395 "," 9,666 "
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, -   , -   , -   , -   , -   , -   , 25 , 58 , 73 , 86 , 113 , 114 , 150 , 170 , 195 , 240 , 260 , 357 , 352 , 390 , 495 , 529 , 546 , 695 , 809 , 807 , 911 ," 1,082 "," 1,183 "," 1,290 "," 1,550 "," 1,708 "," 1,985 "," 2,336 "," 3,468 "," 3,911 "," 2,827 "," 3,446 "," 3,908 "," 4,239 "," 4,632 "," 5,299 "," 5,667 "," 6,175 "," 6,327 "," 6,739 "," 7,649 "," 7,530 "," 7,916 "," 8,159 "," 8,049 "," 8,360 "," 8,232 "," 8,607 "," 9,158 "," 9,395 "," 9,666 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 , 41 , 90 , 113 , 143 , 156 , 158 , 177 , 175 , 207 , 224 , 225 , 240 , 274 , 295 , 341 , 372 , 337 , 148 
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 , 41 , 90 , 113 , 143 , 156 , 158 , 177 , 175 , 207 , 224 , 225 , 240 , 274 , 295 , 341 , 372 , 337 , 148 
         Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Third Party Payers and Programs, 30 , 38 , 43 , 44 , 85 , 150 , 98 , 60 , 65 , 71 , 53 , 54 , 60 , 67 , 78 , 81 , 102 , 123 , 127 , 142 , 157 , 167 , 173 , 211 , 253 , 298 , 378 , 464 , 553 , 651 , 700 , 856 , 957 , 796 , 756 , 725 , 805 , 737 , 596 , 412 , 901 ," 1,971 "," 2,904 "," 3,783 "," 4,012 "," 3,621 "," 2,752 "," 2,083 "," 1,233 ", 618 , 123 , 279 , 534 ," 1,329 "," 2,083 "," 2,161 "," 2,483 "
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Workers' Compensation, 13 , 14 , 14 , 15 , 16 , 16 , 18 , 20 , 21 , 23 , 28 , 27 , 31 , 37 , 46 , 53 , 64 , 76 , 81 , 90 , 98 , 106 , 109 , 135 , 178 , 213 , 287 , 366 , 452 , 545 , 590 , 731 , 819 , 648 , 600 , 564 , 636 , 557 , 412 , 220 , 699 ," 1,762 "," 2,688 "," 3,562 "," 3,793 "," 3,403 "," 2,540 "," 1,840 ", 972 , 368 , (125), 47 , 315 ," 1,102 "," 1,840 "," 1,907 "," 2,218 "
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health, 7 , 10 , 10 , 11 , 12 , 14 , 16 , 18 , 21 , 24 , 23 , 26 , 27 , 27 , 29 , 25 , 34 , 44 , 42 , 47 , 54 , 55 , 58 , 69 , 69 , 79 , 84 , 91 , 94 , 98 , 102 , 117 , 130 , 139 , 147 , 153 , 159 , 170 , 174 , 181 , 190 , 196 , 204 , 209 , 207 , 206 , 199 , 230 , 249 , 236 , 234 , 218 , 205 , 214 , 229 , 240 , 251 
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, 7 , 10 , 10 , 11 , 12 , 14 , 16 , 18 , 21 , 24 , 23 , 26 , 27 , 27 , 29 , 25 , 34 , 44 , 42 , 47 , 54 , 55 , 58 , 69 , 69 , 79 , 84 , 91 , 94 , 98 , 102 , 117 , 130 , 139 , 147 , 153 , 159 , 170 , 174 , 181 , 190 , 196 , 204 , 209 , 207 , 206 , 199 , 230 , 249 , 236 , 234 , 218 , 205 , 214 , 229 , 240 , 251 
         Vocational Rehabilitation, -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 7 , 7 , 7 , 7 , 8 , 9 , 9 , 9 , 9 , 9 , 10 , 10 , 11 , 12 , 12 , 12 , 12 , 12 , 11 , 13 , 13 , 12 , 13 , 14 , 13 , 13 , 13 , 14 , 14 , 14 
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 7 , 7 , 7 , 7 , 8 , 9 , 9 , 9 , 9 , 9 , 10 , 10 , 11 , 12 , 12 , 12 , 12 , 12 , 11 , 13 , 13 , 12 , 13 , 14 , 13 , 13 , 13 , 14 , 14 , 14 
         Other Federal Programs*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         SAMHSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
